"&#x12b;re                                                                 ","to go"
"is, ea, id                                                                ","this, that; he she it"
"it, &#x12b;                                                               ","(see eo, ire)imperative, go!"
"&#x12a;talia, ae [f]","Italy"
"jam                                        ","now, already, finally, at once"
"Jovis, &#x12b;, em, e                      ","see Juppiter"
"jube&#x14d;, &#x113;re, juss&#x12b;, jussus","command, order, bid, enjoin (upon), urge"
"J&#x16b;n&#x14d;, &#x14d;nis [f]           ","Juno, queen of the gods"
"Juppiter, Jovis [m]                        ","king of the gods"
"juss&#x12b;; jussus, a, um                 ","see jubeo, jubere"
"l&#x101;bor, &#x12b;, psus                 ","slip (by), slide, glide (by), descend; fail; faint, fall, perish; flow"
"lab&#x14d;s(or), &#x14d;ris [m]            ","labor, hardship, task"
"lacrima, ae [f]                            ","tear, compassion"
"laetus, a, um                              ","happy; fertile; fat, sleek"
"l&#x12b;men, inis [n]                      ","threshold, doorway, entrance; abode; shrine; palace"
"l&#x12b;tus, oris [n]                      ","shore, strand, coast, beach"
"locus, &#x12b; [m]                         ","(pl. loci, loca) place, region; condition, situation; opportunity"
"longus, a, um                              ","long, wide, distant"
"l&#x16b;men, inis                          ","light, lamp; eye; life"
"l&#x16b;x, l&#x16b;                        ","light, sun, day; life; glory"
"magnus, a, um                                          ","great, large, huge, vast; noble, illustrious, mighty, important"
"major, majus                                           ","(comparative of magnus)greater, et c."
"mane&#x14d;, &#x113;re, m&#x101;ns&#x12b;, m&#x101;nsus","remain, abide, linger, stay, (a)wait"
"manus, &#x16b;s [f]                                    ","hand; band, troop; deed"
"mare, is [n]                                           ","sea"
"m&#x101;ter, tris [f]                                  ","mother, dam; matron"
"maximus                                                ","(superlative of magnus)greatest, et c."
"medius, a, um                                          ","mid(dle), intermediate"
"m&#x113;ns, mentis [f]                                 ","mind, feeling, intention"
"meus, a, um                                            ","my (own), mine"
"miser, era, erum                                       ","miserable, unhappy, wretched, unfortunate, pitiable"
"mitt&#x14d;, ere, m&#x12b;s&#x12b;, missus             ","send, hurl, dismiss, let go; end, finish; offer, pay"
"moenia, ium [n]                                        ","walls; city; structures"
"m&#x14d;ns, montsi [m]                                 ","mountain, height"
"mors, rtis [f]                                         ","death, destruction, ruin"
"move&#x14d;, &#x113;re, m&#x14d;v&#x12b;, m&#x14d;tus  ","move; ponder"
"multus, a, um                                          ","much, many, abundant"
"m&#x16b;nus, eris [n]                                  ","function, duty; gift"
"nam, namque                                            ","for; indeed, truly"
"n&#x101;tus, &#x12b; [m]                               ","son, child, young"
"n&#x101;vis, is [f]                                    ","ship, boat, vessel, galley"
"-ne                                                    ","(interrogative particle)whether, or"
"n&#x113;                                               ","lest, that not, no, not"
"neque, nec; neque...neque                              ","nor, neither, and not; neither...nor"
"n&#x14d;men, inis [n]                                  ","name, fame, renown"
"n&#x14d;n                                              ","not, no"
"noster, tra, trum                                      ","our (own), ours"
"nowus, a, um                                           ","new, young, strange, late"
"nox, noctis [f]                                        ","night, darkness; sleep"
"n&#x16b;llus, a, um                                    ","none, non, no one"
"n&#x16b;men, inis                                      ","divinity, divine (power, will, favor, purpose, presence)"
"nunc                                                   ","(but) now, soon, as it is"
"&#x14c;                                                ","O!, oh!, ah!"
"oculus, &#x12b; [m]                                    ","eye"
"olle etc.                                              ","archaic forms of ille, et c."
"omnis, e                                               ","all, every, whole, universal"
"&#x14d;ra, ae [f]                                      ","shore, coast, region, border"
"&#x14d;s, &#x14d;                                      ","mouth, face; speech"
"par&#x113;ns, entis [m/f]                               ","parent, ancestor, father, mother"
"par&#x14d;(1)                                           ","prepare, make (ready)"
"pars, rtis [f]                                          ","part, portion, share, side"
"pater, tris [m]                                         ","father, ancestor, sire"
"patrius, a, um                                          ","paternal, ancestral, native"
"pectus, oris [n]                                        ","breast, heart, sou"
"pelagus, &#x12b; [n]                                    ","sea, flood, waves"
"per                                                     ","through, by (means of), over, among, because of, during (acc.)"
"p&#x113;s, pedis [m]                                    ","foot,; sheet-rope, sheet"
"pet&#x14d;, ere, &#x12b;v&#x12b;(i&#x12b;), &#x12b;tus  ","seek, attack, aim (at), ask; scan"
"plus, a, um                                             ","devoted, loyal, righteous"
"pl&#x16b;r&#x113;s                                      ","(comparative of multus)"
"pl&#x16b;rimus                                          ","(superlative of multus)"
"pl&#x16b;s                                              ","(comparative of multus)"
"poena, ae [f]                                           ","punishment, penalty, satisfaction, revenge, vengeance"
"p&#x14d;n&#x14d;, ere, posu&#x12b;, pos(i)tus           ","put, place (aside); found, establish; bury"
"portus, &#x16b;s [m]                                    ","port, harbor, haven"
"possum, posse, port&#x12b;                              ","be able, can, avail"
"Priamus, &#x12b; [m]                                    ","Priam, king of Troy"
"pr&#x12b;mus, a, um                                     ","first, foremost, chief"
"procul                                                  ","far, at a distance, (from) afar"
"puer, &#x12b; [m]                                       ","boy, child; slave"
"puppis, is [f]                                          ","stern; ship, vessel, galley"
"quaer&#x14d;, ere, quaes&#x12b;v&#x12b;, quaes&#x12b;tus","seek (in vain), miss, inquire, ask, try"
"-que; -que...-que                                       ","(conjunctive enclitic) and, also, even; both...and"
"qu&#x12b;, quae, quod                                   ","who, which, what, that"
"quis(qua), quid, (qu&#x12b;, quae, quod)                ","who?, which?, what?, why?, any, some(one)"
"qu&#x14d;                                               ","whither, where(fore), whereby"
"quondam                                                 ","(at) some time, formerly, ever"
"refer&#x14d;, ferre, tul&#x12b;, l&#x101;tus            ","bear back, restore, carry off; reproduce, renew, recall; relate, say; (re)pay"
"r&#x113;gina, ae [f]                                    ","queen; adj. royal"
"r&#x113;gnum, &#x12b; [n]                               ","royal power, kingdom, realm, rule, sway, sovereignty"
